Kode;Navn
0441;LANDER
8570;LANDINI
1149;LANGENDORF
9440;LANZ
1024;LARS1
0534;LASALLE
0522;LATRUS
1016;LAUGE JENSEN
0529;LAUMETRIS
6510;LAVERDA
2210;LBP
0598;LE VOYAGEUR
0438;LEA FRANCIS
0075;LECITRAILER
1134;LECSOR
0221;LEGRAS
7901;LEIKE
3730;LELY
0294;LESMAR
3720;LETOURNEAU-WESTINGHOUSE
1157;LEVANTE
0679;LEVC
5481;LEXUS
3740;LEYLAND
0365;LHY
0132;LIANGZI
2810;LIBERTY
0322;LIDER
0208;LIEBHERR
7320;LIFAN
0841;LIFESTYLECAMPER
0733;LIGHT BEE
6760;LIGIER
1277;LIGIER PROFESSIONAL
0374;LIHNELL VAGN AB
0868;LILLEROLF HENGER
0047;LIMETEC
0063;LIN TRAILERS
3750;LINCOLN
0485;LINDA
0696;LINDDANA A/S
1098;LINDE CRYO AB
7914;LINGBEN
7240;LINHAI
1119;LINTEX
0644;LIPE
3760;LISSETT
0023;LIZARD
3800;LLOYD
0231;LMC
1045;LMR
1172;LMR-AZENE
0955;LMX
0088;LOBSTER TRAILERS
1018;LOHAS
0551;LOHR
0448;LOK
2280;LOKARI
7500;LONCIN
8473;LONGBO
7650;LONGCHANG
8146;LONGJIA
0402;LORA
0873;LORRIES
3810;LOTUS
0479;LOVOL
0033;LOYDS
0935;LP KOLDING
0993;LT TRAILER
0339;LTI
0869;LUAZ
0705;LUQI
0965;LUSITANO
0777;LUYUAN
0791;LVNENG
0857;LVTONG
3820;LYNTON
6361;LYNX
3370;LØWER
2120;LØØVESLAPET
1188;M&V
0652;M1 ENGINEERING LIMITED
1071;MAC
3830;MACK
3770;MACO
0389;MACUGA
0728;MADEMOTO
0089;MAFI
3840;MAGIRUS DEUTZ
0102;MAGNEHENGERN
0199;MAGYAR
8740;MAHINDRA
0798;MAICO
0164;MAISONNEUVE
6420;MALAGUTI
8411;MAMMUT
3870;MAN
1740;MANDAL
0253;MANE
0905;MANGOSTEEN
0878;MANITOWOC CRANE GROUP GERMANY GMBH
0863;MANUFACTURE DES TENTES CABANON
3780;MARDON TRAILER
0530;MARINOX
0373;MARMON
3200;MARO
7612;MARSHIN
1192;MARTIN MOTORS
0398;MARTINO
0446;MARTZ
7530;MASAI
3920;MASERATI
0184;MASSEY
9240;MASSEY-FERGUSON
9241;MASSEY-FERGUSON
9500;MASSEY-HARRIS
0493;MASTER TRAILER
0656;MASU
3880;MATADOR
8000;MATCHLESS
1770;MATKAAJA
3890;MATRA
0563;MAUR BILPÅBYGG
0429;MAURER
1950;MAX
0655;MAX TRAILER
0747;MAXUS
3860;MAYBACH
3930;MAZDA
1273;MAZZOTTI
0947;MB BUS PERFECT
0228;MBK
0509;MCCAULEY
8680;MCCORMICK
9362;MCCORMICK INTERNATIONAL
0686;MCD
0847;MCKEE
1245;MCLAREN
4320;MCLOUIS
0212;MCM
0999;ME
1281;MECANOREM
0835;MEELS
6821;MEGA
8139;MEGELLI
7917;MEIDUO
8640;MELEX WSK MIELEC
0822;MENKE-JANZEN
1284;MERCEDES SPRINTER / KEGGER
0525;MERCEDES SPRINTER/BUS FACTORY
3901;MERCEDES-AMG
3900;MERCEDES-BENZ
3950;MERCURY
0157;MERCUS
0508;MEREDITH AND EYRE
0126;MERSEA COMMERCIAL & LEISURE TRAILERS
8020;MESSERSCHMITT
0327;METALTECH
0612;METAWELD
0219;METBOX
8220;METRAKIT
2830;METSJØ
1165;MEUSBURGER
4000;MG
1103;MGB DELIVERY
0406;MGB STARBRIDGE
7931;MH MOTORCYCLES
0295;MI
1266;MIA
3590;MICRO COMPACT CAR
4340;MICRO-VETT
6740;MICROCAR
8152;MIKILON
0416;MILLER
0342;MINAUTO
8455;MINBAN
3690;MINI
0885;MINK CAMPERS
6550;MINSK
4020;MIRAGE
4010;MITSUBISHI
4011;MITSUBISHI
4013;MITSUBISHI FUSO
0930;MJØRUD
3790;MKP
0407;MMD MARVIN MACDAVI DESIGN
1220;MO-PRO
0417;MOBILVETTA
0616;MOBYLETTE
0719;MODEN
0590;MOELVEN
0533;MOETEFINDT
0723;MOHEDA
8040;MONARK
0425;MONDIAL
0633;MONET & GOYON
7913;MONNIER
0883;MONO-TRANSSERVISS
0858;MONTESA
0967;MONTRACON
1030;MONZA
1205;MORELO
4050;MORGAN
0982;MORGAN MOTOR COMPANY LTD.
4100;MORRIS
1096;MOSBLIKK
4150;MOSKWITCH
0559;MOSTARD YVONNE
7190;MOTO
0172;MOTO BELLINI
8070;MOTO GUZZI
0379;MOTO MORINI
0552;MOTO S.P.A.
8090;MOTO SKI
6700;MOTO UNION
7770;MOTO ZETA
7291;MOTO-ROMA
8060;MOTOBECANE
0981;MOTOBI
8463;MOTOGINO
1028;MOTOLUG
7700;MOTORBIKE
6720;MOTORHISPANIA
7270;MOTORTEK
0039;MOTRAC
